Gene ID,0 nM,1 nM,5 nM,10 nM,15 nM,20 nM,50 nM,100 nM,500 nM
YPL047W,47.48124144,49.54787563,50.70091795,44.24606015,51.61027452,45.54187718,49.92610369,49.59806595,43.95211966
YPL014W,4.344186257,5.625522998,2.709901205,3.908042071,2.305322191,1.560903094,1.185224693,1.344723376,1.255346431
YGR007W,55.49537627,50.74702608,60.8972252,57.70456066,55.8323357,57.67250257,59.92265959,69.26976316,69.3626461
YML116W,28.13458772,26.50872216,22.54430446,20.07667377,19.14466381,20.75382926,14.74409871,13.34028887,15.26166824
YOL137W,27.34696286,25.34640992,26.12665251,26.518044,28.01568062,28.72981716,25.96226552,23.23104797,18.29207073
YGL155W,47.41161906,47.02663418,51.30860478,47.69119521,51.57001033,53.2479759,52.09154301,54.71809068,51.42556014
YER061C,19.35201948,21.22014629,23.5650047,24.02606535,20.48804354,22.30197385,22.80112818,21.96793658,21.02867321
YKL214C,63.77042646,62.72550213,59.77876055,57.47419234,57.82315751,52.51244907,52.75074302,51.19539931,56.12370067
YPL119C,6.599017417,8.168848357,6.458761525,8.556951499,8.492196767,7.899782986,8.422259115,9.315132236,12.18956772
YDL125C,140.6996143,125.9165988,143.3240301,136.7170669,135.0755368,129.3269057,158.2203033,178.9170548,208.4871042
YHR186C,26.233827,30.87597129,23.06899603,24.62611192,28.13440642,25.09663936,24.53957887,27.71187008,32.29703074
YKL011C,29.10539964,23.37296113,24.31467704,24.66287952,20.18974533,22.05867608,20.14518926,21.38589783,21.67572725
YLL019C,38.21038658,41.4764752,28.7629834,34.90165119,34.49849872,33.45799963,39.43847885,38.85248579,46.30097863
YNL257C,32.64150387,32.21484947,31.48136399,32.61879623,30.3275068,28.51490631,30.39547921,30.71025033,31.56061391
YGL199C,2.866277147,3.083564601,1.508978422,2.276678533,1.512042337,1.448619285,1.443704546,1.896617125,2.184455415
YJR092W,51.03799933,46.19942951,30.65991903,18.8818538,7.807651264,9.758917505,5.819861233,6.344157087,7.0920611
YDR010C,0.312129346,0,1.335127745,0.879002391,0,0.512689054,1.277374128,1.708617289,0
YBL059W,15.94260662,16.10305958,17.04855428,19.7545645,17.80554471,19.63993453,19.18183598,18.82558285,22.74522192
YBR291C,12.79487283,15.40448414,17.05993263,15.79792506,14.11607934,14.57884647,14.8124247,13.16067015,12.56244104
YPL189C-A,62.37738317,63.31785564,50.78151897,56.6657852,47.80444532,41.31377815,39.52666815,35.79802049,39.8716134
YDR262W,49.40648872,35.43460544,39.12413949,36.62724877,41.45309223,42.65723352,39.40183861,44.08507131,48.94996059
YFL012W,1.394084435,0.361055148,0.397544764,1.090541083,0.682889076,0.954107432,1.141044512,1.271885516,1.381202751
YLR078C,39.03323491,37.76294653,44.70325655,49.28821669,37.8706108,35.77984023,41.01752314,47.16507382,51.39707735
YDR072C,92.7601884,72.52988933,75.15579988,61.8807318,67.78878375,77.31078883,70.08305485,89.27922384,88.85475944
YDR179C,19.74857725,16.82901719,17.25816765,14.55157237,8.321544479,12.03348448,7.473685674,5.479979807,4.628538728
YKL153W,2.443071348,1.265466372,0.348339812,0.764450016,1.396188406,0.50160933,0.499907517,0.636835184,6.454658044
YOR108C-A,0,1.540962639,0.848349113,0,0,1.221622722,0,2.326429009,0
YGR220C,90.43340144,98.13112946,97.41910598,102.0859687,93.24038576,94.4691371,83.03531832,85.84542215,79.19123414
YIL053W,1094.559585,1033.636551,1001.112872,943.916094,991.4677611,947.4875509,864.192518,779.2294562,693.0184805
YMR161W,51.04472563,55.66784692,56.29564156,50.37005392,46.24260043,45.70995644,46.184087,52.66220681,49.35443185
YER011W,2.170197759,3.372368499,1.276410085,1.909874305,1.594599623,0.891166314,1.110178561,0.95462761,0.268768075
YDR258C,61.75059314,71.1576678,59.96330115,69.27188616,66.87582735,62.70260824,78.26909311,85.59666399,91.91757776
YDR467C,10.48984392,16.30064313,9.245964408,10.44377074,9.965432406,10.96462603,7.284950853,8.700321166,10.07797836
YGL162W,13.1406802,13.61326505,10.35429437,12.11895621,14.34193661,13.25349679,12.07637173,9.825431823,9.364728777
YNL243W,72.60304747,80.62612419,69.55528547,72.40487278,69.62664328,67.56380782,70.89540695,81.92963533,95.67403559
YBR234C,110.4515944,110.9352891,111.3917671,116.2426073,123.2526019,113.2785132,132.0038866,144.5890413,154.6268848
YNL047C,22.93469398,22.64237312,16.24545487,15.6530842,16.43948569,19.48374554,15.02606958,14.0684004,16.98996237
YKL038W,31.8080423,29.43668636,27.79225028,30.13569928,26.62372952,28.42533805,24.89948433,23.09746994,27.3044487
YFL053W,0.291906882,0.725771699,0.299670363,0.274017647,0.343175806,0.191789032,0.238922935,0.410893236,0.231367672
YOR200W,0,0,0,0,0,0.213835133,0,0.814444996,0
YKR060W,41.6268424,39.28052155,40.13031054,34.70779343,35.36050466,34.80685809,29.43913305,23.60309043,25.91654871
YPR200C,4.758380036,6.161885044,6.106165871,3.722306043,3.884802652,7.815892314,3.67831611,6.201832435,4.714411432
YLR411W,5.002680007,4.664334499,5.258009293,5.635314638,4.761071241,6.456346295,3.860665087,4.135695523,3.965163209
YLR318W,8.511934278,7.827033482,8.2172233,8.210204698,7.61230056,8.080937645,7.382394619,6.198405147,5.493238674
YHR150W,14.36118072,14.63072693,14.73293121,13.92857383,13.25226296,12.72435858,11.46184352,15.05177718,17.00332864
YGL219C,38.02409946,40.98748305,32.20804468,40.42008674,39.23979342,37.09132427,39.91780254,42.36974389,42.73548817
YFL009W,26.09502755,30.15451089,32.06498504,28.90423424,29.16774273,27.68959275,30.27906418,31.18150895,32.83314005
YBR045C,4.536041278,5.370483654,4.804511806,4.359436558,4.549746986,5.36627011,4.066296545,4.645180035,6.206175573
YMR039C,58.54096097,59.42359117,56.54372445,53.62381784,57.46794168,68.14326564,65.98001086,75.03793431,94.95165885
YKL195W,147.4394903,149.3289505,157.3929289,156.0757903,154.7573638,159.8819333,163.3317434,162.3422249,178.8872366
YPR127W,28.9795694,31.3675799,31.28911139,29.83013707,29.76175908,27.98580192,29.93563838,32.58683179,36.03824807
YPL188W,42.98352298,45.3060358,47.67565164,45.66667084,48.14990125,55.96223575,46.84061101,47.87974172,49.18887869
YGL147C,1878.44109,1897.080445,2079.555967,1990.526138,1933.348047,1815.800185,1965.999189,1676.13276,1439.514329
YDR217C,33.25873635,35.82100808,32.94289237,28.19996573,24.4957126,28.91754168,20.89678736,17.92349042,18.39635041
YML015C,24.81068155,27.87068004,23.10079105,21.51302005,26.25927372,28.88707038,21.61218764,24.23326269,26.06223345
